phase,butter_lowpass_cutoff,distance_multiplier,window_size_seconds,systolic_mae,systolic_mse,systolic_rmse,systolic_r2,diastolic_mae,diastolic_mse,diastolic_rmse,diastolic_r2,abp_r2_combined,abp_mae_combined,abp_combined_score,videos_processed
phase2,5,1.0,1.01,6.852403888309747,113.04893139472557,10.63244710284164,-1.2774905131437095,15.044723753956035,316.93192252968043,17.802581906276416,-12.595903106890484,-6.9366968100170965,10.948563821132892,-7.046182448228425,3
phase2,5,1.0,1.2,6.852403888309747,113.04893139472557,10.63244710284164,-1.2774905131437095,15.044723753956035,316.93192252968043,17.802581906276416,-12.595903106890484,-6.9366968100170965,10.948563821132892,-7.046182448228425,3
phase2,5,0.9,1.01,7.386694621635925,151.57538540125668,12.311595566832786,-2.4508914987811896,15.266846332300497,306.9144221726929,17.518973205433387,-12.184771469651396,-7.317831484216293,11.32677047696821,-7.431099188985975,3
phase2,5,0.9,1.2,7.386694621635925,151.57538540125668,12.311595566832786,-2.4508914987811896,15.266846332300497,306.9144221726929,17.518973205433387,-12.184771469651396,-7.317831484216293,11.32677047696821,-7.431099188985975,3
phase2,5,1.1,1.01,7.905697792887452,114.88613416165241,10.718494957859168,-0.5451373215309436,15.240024485140859,354.4197670035346,18.826039599542295,-13.602511882268347,-7.073824601899645,11.572861139014154,-7.189553213289787,3
phase2,5,1.1,1.2,7.905697792887452,114.88613416165241,10.718494957859168,-0.5451373215309436,15.240024485140859,354.4197670035346,18.826039599542295,-13.602511882268347,-7.073824601899645,11.572861139014154,-7.189553213289787,3
phase2,4,1.0,1.01,8.57406593152532,155.09077680404786,12.45354474854641,-1.5179306223000366,13.371798757780757,283.07448803238054,16.82481762255926,-20.749148681230977,-11.133539651765506,10.972932344653039,-11.243268975212036,3
phase2,4,1.0,1.2,8.57406593152532,155.09077680404786,12.45354474854641,-1.5179306223000366,13.371798757780757,283.07448803238054,16.82481762255926,-20.749148681230977,-11.133539651765506,10.972932344653039,-11.243268975212036,3
phase2,4,0.9,1.01,9.075497229796971,194.1215932107316,13.932752535329534,-3.0871018437903617,14.375224863655282,286.39823142472767,16.923304388467628,-13.62273858393305,-8.354920213861705,11.725361046726126,-8.472173824328966,3
phase2,4,0.9,1.2,9.075497229796971,194.1215932107316,13.932752535329534,-3.0871018437903617,14.375224863655282,286.39823142472767,16.923304388467628,-13.62273858393305,-8.354920213861705,11.725361046726126,-8.472173824328966,3
phase2,4,1.1,1.01,8.890306061271508,97.86384232009198,9.892615544945228,-3.0918077368493773,14.583785118536303,303.1513081754825,17.411240856856885,-14.324174461787477,-8.707991099318427,11.737045589903905,-8.825361555217466,3
phase2,4,1.1,1.2,8.890306061271508,97.86384232009198,9.892615544945228,-3.0918077368493773,14.583785118536303,303.1513081754825,17.411240856856885,-14.324174461787477,-8.707991099318427,11.737045589903905,-8.825361555217466,3
phase2,6,1.0,1.01,5.969251139157582,90.42875967222118,9.509403749563964,-1.5244954515629536,14.990852830441062,306.13381870355823,17.496680219503304,-16.705643242746728,-9.11506934715484,10.480051984799323,-9.219869867002833,3
phase2,6,1.0,1.2,5.969251139157582,90.42875967222118,9.509403749563964,-1.5244954515629536,14.990852830441062,306.13381870355823,17.496680219503304,-16.705643242746728,-9.11506934715484,10.480051984799323,-9.219869867002833,3
phase2,6,0.9,1.01,7.089937401149295,120.77104533036515,10.989588041886064,-1.729238208317366,14.76760413937536,291.2567311743653,17.066245374257495,-17.835621507467565,-9.782429857892465,10.928770770262327,-9.891717565595089,3
phase2,6,0.9,1.2,7.089937401149295,120.77104533036515,10.989588041886064,-1.729238208317366,14.76760413937536,291.2567311743653,17.066245374257495,-17.835621507467565,-9.782429857892465,10.928770770262327,-9.891717565595089,3
phase2,6,1.1,1.01,8.182748537393332,103.49348129962982,10.173174592998482,-0.5787191897256503,14.453267535311616,291.624475991095,17.077016015425382,-23.973412513461565,-12.276065851593607,11.318008036352474,-12.389245931957133,3
phase2,6,1.1,1.2,8.182748537393332,103.49348129962982,10.173174592998482,-0.5787191897256503,14.453267535311616,291.624475991095,17.077016015425382,-23.973412513461565,-12.276065851593607,11.318008036352474,-12.389245931957133,3
